international_designator,norad_catalog_number,satellite_name,source,launch_date,launch_site,object_type,last_data
1978-100E,11177.0,SL-14 DEB,CIS,1978-10-26,PLMSC,DEB,1991-05-03T03:20:11.773824
1980-060A,11890.0,EKRAN 5,CIS,1980-07-15,TYMSC,PAY-,1994-03-14T20:41:32.144640
1977-068E,12815.0,COSMOS 931 DEB,CIS,1977-07-20,PLMSC,DEB,2024-06-08T22:42:45.362304
1979-077F,12816.0,COSMOS 1124 DEB,CIS,1979-08-28,PLMSC,DEB,2019-05-28T12:06:12.084192
1979-058E,12833.0,COSMOS 1109 DEB,CIS,1979-06-27,PLMSC,DEB,1999-09-16T14:44:46.929120
1981-031G,12894.0,COSMOS 1261 DEB,CIS,1981-03-31,PLMSC,DEB,2024-12-30T15:06:16.818048
1977-012J,13133.0,TANSEI-3 DEB,JPN,1977-02-19,KSCUT,DEB,2023-12-30T14:57:42.111648
1977-062C,13475.0,COSMOS 926 DEB,CIS,1977-07-08,PLMSC,DEB,1994-01-26T13:23:24.304416
1974-089EM,13526.0,THORAD DELTA 1 DEB,US,1974-11-15,AFWTR,DEB,2019-08-18T01:02:59.644896
1978-026FU,13825.0,DELTA 1 DEB,US,1978-03-05,AFWTR,DEB,2020-07-18T04:09:23.900256
1983-019A,13890.0,MOLNIYA 1-56,CIS,1983-03-16,PLMSC,PAY-,2025-01-28T04:48:13.633920
1981-088G,13904.0,SL-6 DEB,CIS,1981-09-11,PLMSC,DEB,2024-03-25T10:33:21.764736
1981-088H,13908.0,SL-6 DEB,CIS,1981-09-11,PLMSC,DEB,2022-11-07T11:19:08.329152
1981-088K,13910.0,SL-6 DEB,CIS,1981-09-11,PLMSC,DEB,2021-07-02T04:37:29.325792
1981-088L,13911.0,SL-6 DEB,CIS,1981-09-11,PLMSC,DEB,2025-01-13T22:38:12.724512
1965-108X,13958.0,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2019-02-05T06:51:43.645248
1978-083G,13959.0,COSMOS 1030 DEB,CIS,1978-09-06,PLMSC,DEB,2011-02-20T22:05:43.170720
1977-068G,14000.0,COSMOS 931 DEB,CIS,1977-07-20,PLMSC,DEB,2024-02-18T13:40:06.540096
