,COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
0,ARAB SATELLITE COMMUNICATIONS ORGANIZATION,AB,0,15,0,0,15,1,0,0,1,16
1,ABS Global Ltd,ABS,0,5,0,0,5,0,0,0,0,5
2,ASIASAT CORP,AC,0,8,0,0,8,0,0,0,0,8
3,REPUBLIC OF ANGOLA,AGO,0,2,0,0,2,0,0,0,0,2
4,ALGERIA,ALG,0,6,0,0,6,0,0,0,0,6
5,ARGENTINA,ARGN,0,38,0,0,38,29,0,1,30,68
6,AUSTRIA,ASRA,0,3,0,0,3,1,0,0,1,4
7,AUSTRALIA,AUS,0,35,2,0,37,22,0,0,22,59
8,AZERBAIJAN,AZER,0,3,0,0,3,0,0,0,0,3
9,BELGIUM,BEL,0,10,0,0,10,5,0,0,5,15
10,BELARUS,BELA,0,1,0,0,1,1,0,0,1,2
11,PEOPLES REPUBLIC OF BANGLADESH,BGD,0,1,0,0,1,1,0,0,1,2
12,REPUBLIC OF BULGARIA,BGR,0,6,0,0,6,0,0,0,0,6
13,BOLIVIA,BOL,0,1,0,0,1,0,0,0,0,1
14,BRAZIL,BRAZ,0,28,0,0,28,6,0,0,6,34
15,CANADA,CA,0,71,0,5,76,26,0,2,28,104
16,PEOPLES REPUBLIC OF CHINA/BRAZIL,CHBZ,0,4,0,12,16,0,0,75,75,91
17,CHILE,CHLE,0,3,0,0,3,4,0,0,4,7
18,COMMONWEALTH OF INDEPENDENT STATES,CIS,18,1576,1050,4166,6810,2162,2938,13049,18149,24959
19,COLOMBIA,COL,0,2,0,0,2,1,0,0,1,3
20,REPUBLIC OF COSTA RICA,CRI,0,0,0,0,0,1,0,0,1,1
21,CZECHOSLOVAKIA,CZCH,0,3,0,0,3,1,0,0,1,4
22,Czechia,CZE,0,4,0,0,4,5,0,0,5,9
23,DENMARK,DEN,0,9,0,0,9,7,0,0,7,16
24,Djibouti,DJI,0,2,0,0,2,0,0,0,0,2
25,ECUADOR,ECU,0,2,0,0,2,0,0,0,0,2
26,EGYPT,EGYP,0,11,0,0,11,2,0,0,2,13
27,EUROPEAN SPACE AGENCY,ESA,0,104,7,20,131,15,4,28,47,178
28,EUROPEAN SPACE RESEARCH ORGANIZATION,ESRO,0,0,0,0,0,7,0,3,10,10
29,ESTONIA,EST,0,1,0,0,1,1,0,0,1,2
30,EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES,EUME,0,10,0,8,18,0,0,0,0,18
31,EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT),EUTE,0,62,0,0,62,0,0,0,0,62
32,FRANCE/GERMANY,FGER,0,2,0,0,2,0,0,0,0,2
33,FINLAND,FIN,0,27,0,0,27,8,0,0,8,35
34,FRANCE,FR,0,111,170,357,638,22,87,701,810,1448
35,FRANCE/ITALY,FRIT,0,2,0,0,2,0,0,0,0,2
36,GERMANY,GER,0,84,0,1,85,35,0,1,36,121
37,REPUBLIC OF GHANA,GHA,0,0,0,0,0,1,0,0,1,1
38,GLOBALSTAR,GLOB,0,84,0,1,85,0,0,1,1,86
39,GREECE,GREC,0,3,0,0,3,2,0,0,2,5
40,Croatia,HRV,0,1,0,0,1,0,0,0,0,1
41,HUNGARY,HUN,0,1,0,0,1,7,0,0,7,8
42,INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT),IM,0,20,0,0,20,0,0,0,0,20
43,INDIA,IND,2,113,41,44,200,36,34,484,554,754
44,INDONESIA,INDO,0,19,0,0,19,3,0,0,3,22
45,IRAN,IRAN,5,4,3,0,12,10,6,2,18,30
46,IRAQ,IRAQ,0,1,0,0,1,0,0,0,0,1
47,ISRAEL,ISRA,0,19,0,0,19,23,10,1,34,53
