,organisation_id,organisation_name,date_lower,date_upper,host_country
0,4081,Mobile Satellite Ventures Canada,2001-11-01,2010-03-01,Canada
1,4082,AMSAT-Israel,,,Israel
2,4083,Aerojet Rocketdyne,2013-06-01,,United States
3,4084,Avco Corporation,1959-01-01,1984-01-01,United States
4,4085,Avions Marcel Dassault,1947-01-20,,France
5,4086,BPD Difesa e Spazio,1912-10-26,1994-01-01,Italy
6,4087,British Aerospace,1977-04-29,1999-11-30,United Kingdom
7,4088,CTA Space Systems Inc,1992-07-01,1997-01-01,United States
8,4089,California Institute of Technology,1891-01-01,,United States
9,4090,Centro di Ricerca Progetto San Marco,1962-01-01,,Italy
10,4091,"Centro Richerchi Aerospaziale, Roma la Sapienza",1959-01-01,,Italy
11,4092,Columbia Communications Corp.,1983-01-01,2000-09-01,United States
12,4093,Comando-Geral de Tecnologia Aerospacial,1953-01-01,,Brazil
13,4094,Construcciones Aeronauticas S.A. (CASA) Espacio,1923-03-03,2000-01-01,Spain
14,4095,Coratec (Cordoba Alta Tecnologia S.E.),,,Argentina
15,4096,Defense Communications Agency,1960-05-12,1991-06-25,United States
16,4097,EER Systems Inc. Aerospace Div.,1990-12-01,2001-01-01,United States
17,4098,EOSAT Inc (Earth Observation Satellite Company; Hughes/RCA),1985-01-01,1995-11-01,United States
18,4099,Gruzinskiy Politeknichesckiy Intellekt,1996-08-27,,Georgia
19,4100,Energiya-GPI-Space,1998-01-01,,Georgia
20,4101,Final Analysis Communications Services,1993-01-01,2014-01-01,United States
21,4102,Geofyzikalni Ustav Ak. ved Ceske republiky (GFU),1920-01-01,,Czech Republic
22,4103,Gos. Astronomicheskiy Inst. im. Shternberg MGU,1831-01-01,,Russian Federation
23,4104,Hangkong hangtian gongye bu,1988-07-01,1993-06-01,China
24,4105,Hercules Powder Co.,1912-10-18,2008-11-13,United States
25,4106,Hughes Global Services,1997-09-01,2004-01-01,United States
26,4107,Intelsat General Corp.,2004-10-01,,United States
27,4108,Kabushikigaisha Maikuroobita,2021-05-01,,Japan
28,4109,Kannata kabushikigaisha,2016-12-01,,Japan
29,4110,Kosumo Joshi,,,Japan
30,4111,University of Wisconsin,1848-01-01,,United States
31,4112,University of New Brunswick,1785-01-01,,Canada
32,4113,University of Nebraska-Lincoln,1869-01-01,,United States
33,4114,Universite de Sherbrooke,1954-01-01,,Canada
34,4115,United Aircraft Corp.,1934-01-01,1975-05-01,United States
35,4116,US Air Force Space Division,1979-10-01,1982-01-01,United States
36,4117,"US Air Force Phillips Laboratory, Geophysics Directorate",1990-12-01,1997-10-01,United States
37,4118,"USAF Space and Missile Center, TE directorate",1995-07-01,2001-06-29,United States
38,4119,US Army Communications-Electronics Materiel Readiness Command,1978-01-01,1981-05-01,United States
39,4120,"Terma A/S, Birkerod",1997-01-01,,Denmark
40,4121,Tether Applications,1989-01-01,,United States
41,4122,TRW Inc. Chantilly,,,United States
42,4123,Iowa State University,1858-01-01,,United States
43,4124,MBB-ERNO (Entwicklungsring Nord),1961-01-01,1989-12-01,Germany
44,4125,Martin Marietta/Valley Forge,1993-01-01,1995-01-01,United States
45,4126,Martin Marietta/Michoud,1973-01-01,1995-03-15,United States
46,4127,Martin Marietta Astro Space/East Windsor,1993-01-01,1995-03-15,United States
47,4128,"Martin Marietta (San Diego), AF Plant 19",1994-05-02,1995-03-15,United States
48,4129,Matra Marconi Space (Toulouse),1990-01-01,2000-01-01,France
49,4130,Matra Marconi Space (Stevenage),1990-01-01,2000-01-01,United Kingdom
50,4131,McDonnell Douglas Aerospace - Huntsville,1985-01-01,1997-01-01,United States
51,4132,Maxar Technologies/Robotics,2017-10-01,,Canada
52,4133,SkyTerra Canada,1996-01-01,,Canada
53,4134,Shinawatra Satellite Co. Ltd.,1991-11-07,,Thailand
54,4135,Shanghai hangtian ju (Bureau 805),1961-08-01,1993-01-01,China
55,4136,Space Industries International/Calspan,1993-07-01,,United States
56,4137,Memorial University of Newfoundland,1925-01-01,,Canada
57,4138,Minobshchemash,1965-03-02,1991-11-14,Russian Federation
58,4139,Motient Corporation,2000-04-01,2002-01-01,United States
59,4140,Navy Electronic Systems Command,1966-05-01,1985-05-06,United States
60,4141,NewSat USA LLC,2012-01-01,,United States
61,4142,SNECMA Moteurs Spatiaux (Vernon),1997-01-01,,France
62,4143,Spar Aerospace Space Systems,1967-01-01,1999-01-01,Canada
63,4144,Olin Aerospace,1985-01-01,1997-01-01,United States
64,4145,PRIMEX Technologies,1971-01-01,2000-01-01,United States
65,4146,Paracom SA,1992-01-01,1994-01-01,Argentina
66,4147,Philippine Agila Satellite Inc.,1994-01-01,,Philippines
67,4148,Ustav fyziky atmosfery AV CR,1964-01-01,,Czech Republic
68,4149,Thiokol Wasatch Div/Air Force Plant 78,1957-01-01,2001-01-01,United States
69,4150,"Rockwell International (Air Force Plant 42, Palmdale)",1973-01-01,1996-12-01,United States
70,4151,Volunteers in Technical Assistance,1959-01-01,2004-01-01,United States
71,4152,Voenno-Vosdushniye Sili,1912-08-12,,Russian Federation
72,4153,Voenno-Vosdushniye Sili Rossii,1992-05-07,,Russian Federation
73,4154,Hamilton Standard Corp.,1929-01-01,1999-06-01,United States
74,4155,"Soc. nat. industrielle Aerospatiale (SNIAS), GT Cannes",1970-01-01,1998-06-01,France
75,4156,U-izushidozatera,2022-03-01,,Japan
76,4157,Tempo Satellite Inc.,1995-01-01,1999-01-01,United States
77,4158,"Aerojet Rocketdyne Solid Propulsion Co., AF Plant 70",1953-01-01,2013-06-01,United States
78,4159,Contel ASC Inc. (GTE),1991-03-01,2000-01-01,Unknown
79,4160,Defense Systems Inc,1984-01-01,1992-07-01,Unknown
80,4161,Deutsche Aerospace AG (DASA)-Ottobrunn,1989-05-19,2000-07-01,Unknown
81,4162,Deutsche Aerospace AG (DASA)-Friedrichsafen (Dornier GmBH),1989-05-19,1995-01-01,Unknown
82,4163,Daimler-Chrysler Aerospace (DASA)-Friedrichsafen,1988-11-07,2000-07-10,Unknown
83,4164,Daimler-Benz Aerospace (DASA)-Friedrichsafen (Dornier GmBH),1995-01-01,1998-11-07,Unknown
84,4165,Instituto de Aeronautica e Espa\'{c}o,1969-10-17,,Unknown
85,4166,General Electric,1892-04-15,,Unknown
86,4167,"GE Astro Space, East Windsor",1986-01-01,1993-01-01,United States
87,4168,GE Missiles and Space Vehicles Division (MSVD),1956-01-01,1993-01-01,Unknown
88,4169,"Saab Space, Linkoping factory",1983-01-01,1992-01-01,Unknown
89,4170,MATRA Espace,1968-01-01,1989-01-01,Unknown
90,4171,LMA/San Diego (Kearny Mesa),1995-03-15,1996-01-01,Unknown
91,4172,Lockheed Martin Space Communications Ventures,1997-01-01,2006-09-01,Unknown
92,4173,Lockheed Martin Telecommunications/East Windsor,1995-01-01,1998-01-01,Unknown
93,4174,Lockheed Missiles and Space Co.,1961-06-01,1995-03-15,Unknown
94,4175,"Nippon Electric Corp., Space Div., Kamoi Works",,2001-01-01,Unknown
95,4176,"Advanced Technology, Inc. (ATI)",1959-01-01,,Unknown
96,4177,Aerojet General Corp.,1953-01-01,2013-06-01,Unknown
97,4178,"Aeronautical Systems Division, ARDC/AFSC",1961-04-01,1992-07-01,Unknown
98,4179,Aeronutronic Ford Western Development Labs,1975-01-01,1976-12-01,Unknown
99,4180,Air Force Systems Command (OAR legacy assets),1970-07-01,1992-07-01,United States
100,4181,Airborne Instruments Laboratory,1945-01-01,1958-01-01,Unknown
101,4182,Alleghany Ballistic Laboratories (USN/Hercules Powder Co),1945-01-01,1995-01-01,Unknown
102,4183,American Telephone and Telegraph Co. Bell Telephone Laboratories,1925-01-01,1996-01-01,Unknown
103,4184,Bendix Systems Div.,,,Unknown
104,4185,British Aerospace (BAe) Systems,1999-11-30,,Unknown
105,4186,British Aircraft Corp.,1960-01-01,1977-04-01,Unknown
106,4187,"Bureau of Naval Weapons, US Navy",1959-08-18,1966-05-01,Unknown
107,4188,COSMOS consortium (Aerospatiale/CASA/MBB/Selenia/MSDS),1972-01-01,,Unknown
108,4189,Consortium Industrial France-Allemand pour le Satellite Symphonie,1968-01-01,1975-01-01,Unknown
109,4190,Cubic Corp.,1951-01-01,,Unknown
110,4191,Cutler-Hammer Airborne Instruments Laboratory,1945-09-01,2000-01-01,United States
111,4192,"De Havilland, Toronto (Special Products/Appl. Research Div)",1953-01-01,1967-01-01,Unknown
112,4193,"Defense Mapping Agency, Topographic Center (DMATC)",1972-07-01,1996-10-01,Unknown
113,4194,Douglas Aircraft Corp.,1921-07-01,1967-04-28,Unknown
114,4195,E-Systems Inc.,1972-01-01,1995-01-01,Unknown
115,4196,Bundesministerium fur Forschung und Technologie,1972-01-01,1994-01-01,Unknown
116,4197,"Electromagnetic Systems Laboratory, Inc",1964-01-01,1978-01-01,Unknown
117,4198,Electronics Defense Laboratory-Sylvania,1953-01-01,,Unknown
118,4199,Fairchild Hiller Space Systems Division,1964-01-01,1971-01-01,Unknown
119,4200,Fairchild Republic Aircraft Division,1965-01-01,1987-01-01,Unknown
120,4201,Fokker Aircraft,1919-01-01,1996-01-01,Unknown
121,4202,Fokker Space,1972-01-01,1996-01-01,Unknown
122,4203,G T Schjeldahl Inc.,1955-09-01,1974-01-01,United States
123,4204,GE Missles and Space Division,1956-01-01,1961-01-01,Unknown
124,4205,GE Reentry Systems Div,1961-01-01,1993-01-01,Unknown
125,4206,General Dynamics/Convair Division (Plant 19),1953-03-01,1985-03-01,Unknown
126,4207,General Dynamics/Convair Division (Plant 71),1965-02-01,1985-03-01,Unknown
127,4208,Harvard College Observatory,1839-01-01,,Unknown
128,4209,Fiat,1899-07-11,1969-01-01,Unknown
129,4210,Gesellschaft fur Weltraumforschung,1948-01-01,1972-01-01,Unknown
130,4211,"Grand Central Rocket, Redlands",1954-01-01,1960-02-01,United States
131,4212,Grummann Aerospace Corporation,1929-12-06,1994-01-01,Unknown
132,4213,HRB-Singer Co.,1958-01-01,1990-01-01,Unknown
133,4214,Hawker Siddeley Dynamics,1963-07-01,1977-04-01,Unknown
134,4215,ITT Federal Laboratories,,,Unknown
135,4216,Industral Consortium Astronomical Netherlands Satellite,1966-09-01,1977-01-01,Unknown
136,4217,Junkers Flugzeug- und Motorenwerke GmBH,1936-07-05,1969-01-01,Unknown
137,4218,Kaiser-Fleetwings,1943-03-01,1962-01-01,Unknown
138,4219,LTV Electronic Systems Division,1964-01-01,1972-01-01,Unknown
139,4220,Laboratoire Centrale de Telecommunications,1944-01-01,,Unknown
140,4221,Lawrence Radiation Laboratory,1958-01-01,1971-06-01,United States
141,4222,Ling-Temco-Vought Missile Systems,1961-01-01,1976-01-01,Unknown
142,4223,Lockheed Missiles and Space Division,1955-01-01,1961-06-01,Unknown
143,4224,Lockheed Propulsion Co,1961-01-01,1975-01-01,Unknown
144,4225,Los Alamos Scientific Laboratory,1947-01-01,1980-01-01,Unknown
145,4226,"MESH Consortium (MATRA, ERNO, SAAB, HSD)",1966-01-01,1985-01-01,Unknown
146,4227,Marconi,,,Unknown
147,4228,Martin-Baltimore,,1961-01-01,Unknown
148,4229,McDonnell Aircraft,1939-07-06,1967-04-28,Unknown
149,4230,Moskovskiy Energeticheskiy Institut,1930-01-01,,Unknown
150,4231,National Research Council,1916-01-01,,Canada
151,4232,"Naval Avionics Facility, Indianapolis",1956-01-01,1977-01-01,Unknown
152,4233,Naval Ordnance Test Station,1943-01-01,1967-01-01,Unknown
153,4234,NATO Integrated Communications Management Agency,1971-03-01,1986-01-01,Unknown
154,4235,Nord Aviation,1954-10-01,1970-01-01,Unknown
155,4236,North American Aviation,1928-12-06,1967-03-01,Unknown
156,4237,"North American Aviation, Missile Division, Downey",1948-07-01,1967-01-01,Unknown
157,4238,"Northrop Space Laboratories, Northrop Corp.",1962-07-01,2002-07-01,Unknown
158,4239,Office of Naval Research,1946-08-01,,Unknown
159,4240,Philco,1962-01-01,1966-01-01,Unknown
160,4241,Philco WDL,1957-01-01,1966-01-01,Unknown
161,4242,Philco-Ford,1966-01-01,1975-01-01,United States
162,4243,Philco-Ford WDL,1966-01-01,1975-01-01,Unknown
163,4244,Seventh Ministry of Machine Building,1964-11-23,1982-04-01,Unknown
164,4245,Raymond Engineering Laboratories,1984-11-01,,Unknown
165,4246,Republic Aircraft,1939-01-01,1965-07-01,Unknown
166,4247,Rice University,1912-01-01,,Unknown
167,4248,Rockwell/Downey,1973-01-01,1996-12-01,Unknown
168,4249,Rohr Corp.,1940-08-06,,Unknown
169,4250,Safeguard Systems Command,1969-01-01,1974-05-20,Unknown
170,4251,Sanders Associates,1952-01-01,1986-01-01,Unknown
171,4252,Seattle Scientific Corp.,,,United States
172,4253,"2nd Bureau, Shanghai Mech./Elec Industry",1961-08-01,1980-01-01,Unknown
173,4254,"Space General Div, Aerojet-General Corp.",1961-01-01,,Unknown
174,4255,Spar Aerospace (Montreal-St Henri),1977-01-01,1985-01-01,Unknown
175,4256,Stanford Electronics Laboratory,1958-01-01,1969-01-01,Unknown
176,4257,Sud Aviation,1957-03-01,1970-01-01,Unknown
177,4258,Tongasat (Friendly Islands Satellite Co.),1989-02-13,,Unknown
178,4259,"US Air Force Avionics Laboratory, USAF ASD",1963-01-01,1992-01-01,Unknown
