,INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
0,1975-052MT,42658,DEBRIS,DELTA 1 DEB,US,1975-06-12,AFWTR,,114.21,99.80,1757,1082,,3,0,SMALL,7337,1975,52,MT,Y,DELTA 1 DEB,1975-052MT,42658
1,1974-089GR,42624,DEBRIS,THORAD DELTA 1 DEB,US,1974-11-15,AFWTR,,113.05,101.15,1415,1317,,3,0,SMALL,7337,1974,89,GR,Y,THORAD DELTA 1 DEB,1974-089GR,42624
2,1974-089GK,42618,DEBRIS,THORAD DELTA 1 DEB,US,1974-11-15,AFWTR,,116.74,102.08,1570,1498,,3,0,SMALL,7337,1974,89,GK,Y,THORAD DELTA 1 DEB,1974-089GK,42618
3,1970-025SE,42524,DEBRIS,THORAD AGENA D DEB,US,1970-04-08,AFWTR,,105.35,99.78,1036,986,,3,0,SMALL,7337,1970,25,SE,Y,THORAD AGENA D DEB,1970-025SE,42524
4,1970-025RZ,42519,DEBRIS,THORAD AGENA D DEB,US,1970-04-08,AFWTR,,104.41,99.49,982,952,,3,0,SMALL,7337,1970,25,RZ,Y,THORAD AGENA D DEB,1970-025RZ,42519
5,1984-072N,42452,DEBRIS,METEOR 2-11 DEB,CIS,1984-07-05,PKMTR,,103.86,82.53,952,929,,3,0,SMALL,7337,1984,72,N,Y,METEOR 2-11 DEB,1984-072N,42452
6,1966-040BQ,42437,DEBRIS,NIMBUS 2 DEB,US,1966-05-15,AFWTR,,107.69,100.33,1157,1083,,3,0,SMALL,7337,1966,40,BQ,Y,NIMBUS 2 DEB,1966-040BQ,42437
7,1993-016DD,42249,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,100.93,70.97,882,723,,3,0,SMALL,7337,1993,16,DD,Y,SL-16 DEB,1993-016DD,42249
8,1993-016CV,42241,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,101.52,70.96,917,744,,3,0,SMALL,7337,1993,16,CV,Y,SL-16 DEB,1993-016CV,42241
9,1993-016CQ,42236,DEBRIS,SL-16 DEB,CIS,1993-03-26,TTMTR,,101.92,70.98,950,749,,3,0,SMALL,7337,1993,16,CQ,Y,SL-16 DEB,1993-016CQ,42236
