,OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
0,2025-044A,CSO-3,63156,FR,,,,,,0,2025-03-06,
1,1997-012V,DMSP 5D-2 F14 DEB,63155,US,101.25,98.81,843.0,793.0,,0,1997-04-04,
2,1997-012U,DMSP 5D-2 F14 DEB,63154,US,100.97,98.84,822.0,787.0,,0,1997-04-04,
3,2025-009DQ,SEDNA-2,63153,US,95.86,97.49,567.0,552.0,,0,2025-01-14,
4,2025-042B,FREGAT R/B,63131,CIS,673.67,64.83,19122.0,19035.0,,0,2025-03-02,
5,2025-042A,COSMOS 2584(GLONASS),63130,CIS,676.44,64.82,19155.0,19141.0,,0,2025-03-02,
6,2025-041B,PROGRESS MS-30,63129,CIS,92.92,51.64,422.0,413.0,,0,2025-02-27,
7,2025-040C,CZ-2C R/B,63127,PRC,94.4,97.14,501.0,478.0,LARGE,0,2025-02-27,
8,2025-040B,SUPERVIEW NEO-1 04,63126,PRC,94.63,97.31,501.0,501.0,LARGE,0,2025-02-27,
9,2025-040A,SUPERVIEW NEO-1 03,63125,PRC,94.56,97.31,506.0,489.0,LARGE,0,2025-02-27,
10,2025-039W,STARLINK-32957,63124,US,90.68,43.0,309.0,306.0,,0,2025-02-27,
11,2025-039V,STARLINK-32948,63123,US,90.68,43.0,309.0,307.0,,0,2025-02-27,
12,2025-039U,STARLINK-32961,63122,US,90.68,43.0,309.0,307.0,,0,2025-02-27,
13,2025-039T,STARLINK-32947,63121,US,90.69,43.0,310.0,307.0,,0,2025-02-27,
14,2025-039S,STARLINK-32942,63120,US,90.69,43.0,309.0,307.0,,0,2025-02-27,
15,2025-039R,STARLINK-32941,63119,US,90.69,43.0,310.0,307.0,,0,2025-02-27,
16,2025-039Q,STARLINK-32945,63118,US,90.7,43.0,310.0,308.0,,0,2025-02-27,
17,2025-039P,STARLINK-32955,63117,US,90.7,43.0,310.0,308.0,,0,2025-02-27,
18,2025-039N,STARLINK-11591,63116,US,90.71,43.0,311.0,308.0,,0,2025-02-27,
19,2025-039M,STARLINK-11597,63115,US,90.72,43.0,311.0,308.0,,0,2025-02-27,
20,2025-039L,STARLINK-11600,63114,US,90.73,43.0,311.0,309.0,,0,2025-02-27,
21,2025-039K,STARLINK-11598,63113,US,90.73,43.0,311.0,310.0,,0,2025-02-27,
22,2025-039J,STARLINK-11590,63112,US,90.74,43.0,312.0,310.0,,0,2025-02-27,
23,2025-039H,STARLINK-11630,63111,US,90.75,43.0,312.0,310.0,,0,2025-02-27,
24,2025-039G,STARLINK-11601,63110,US,90.75,43.0,312.0,311.0,,0,2025-02-27,
25,2025-039F,STARLINK-11625,63109,US,90.76,43.0,313.0,311.0,,0,2025-02-27,
26,2025-039E,STARLINK-11632,63108,US,90.77,43.0,313.0,311.0,,0,2025-02-27,
27,2025-039D,STARLINK-11627,63107,US,90.78,43.0,314.0,312.0,,0,2025-02-27,
28,2025-039C,STARLINK-11584,63106,US,90.78,43.0,314.0,312.0,,0,2025-02-27,
29,2025-039B,STARLINK-11624,63105,US,90.79,43.0,314.0,312.0,,0,2025-02-27,
30,2025-039A,STARLINK-11629,63104,US,90.8,43.0,315.0,312.0,,0,2025-02-27,
31,2025-038E,FALCON 9 R/B,63103,US,13762.38,28.52,367501.0,212.0,,0,2025-02-27,
32,2025-038D,BROKKER-2 ODIN,63102,US,13762.38,28.52,367501.0,212.0,,0,2025-02-27,
33,2025-038C,LUNAR TRAILBLAZER,63101,US,13762.38,28.52,367501.0,212.0,,0,2025-02-27,
34,2025-038B,CHIMERA-1,63100,US,13762.38,28.52,367501.0,212.0,,0,2025-02-27,
35,2025-038A,IM-2,63099,US,13762.38,28.52,367501.0,212.0,,0,2025-02-27,
36,2025-037X,STARLINK-32913,63098,US,90.5,69.99,302.0,296.0,,0,2025-02-23,
37,2025-037W,STARLINK-32923,63097,US,90.5,69.99,302.0,296.0,,0,2025-02-23,
38,2025-037V,STARLINK-32911,63096,US,90.5,69.99,302.0,296.0,,0,2025-02-23,
39,2025-037U,STARLINK-32907,63095,US,90.5,69.99,302.0,297.0,,0,2025-02-23,
40,2025-037T,STARLINK-32927,63094,US,90.51,69.99,302.0,297.0,,0,2025-02-23,
41,2025-037S,STARLINK-32900,63093,US,90.51,69.99,302.0,297.0,,0,2025-02-23,
42,2025-037R,STARLINK-32924,63092,US,90.51,69.99,302.0,297.0,,0,2025-02-23,
