International Designator,NORAD Catalog Number,Satellite Name,Source,Launch Date,Launch Site,Object Type,Last Data
1960-009D,52,ECHO 1 DEB [MYLAR OBJ],US,1960-08-12,AFETR,DEB,1991-03-25T14:23:57.069312
1963-039C,692,VELA 1,US,1963-10-17,AFETR,PAY-,2024-11-06T17:09:09.800928
1964-040A,836,OPS 3662 (VELA 3),US,1964-07-17,AFETR,PAY-,2024-10-18T19:49:13.468512
1965-058A,1458,OPS 6577 (VELA 5),US,1965-07-20,AFETR,PAY-,2025-01-24T09:01:13.708704
1965-058B,1459,OPS 6564 (VELA 6),US,1965-07-20,AFETR,PAY-,2024-12-24T02:18:46.645344
1966-058A,2258,EXPLORER 33 (AIMP-D),US,1966-07-01,AFETR,PAY-,1971-05-12T12:00:00.000000
1961-028F,2371,MIDAS 4 DEB,US,1961-10-21,AFWTR,DEB,2018-12-01T16:40:04.766304
1963-014T,2372,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2013-11-18T05:31:36.310368
1963-014X,2377,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2025-01-23T22:11:52.906560
1963-014AK,2531,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2024-05-31T04:28:48.670752
1963-014AL,2532,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2022-12-14T07:25:28.742016
1967-003J,2660,TITAN 3C TRANSTAGE R/B,US,1967-01-18,AFETR,R/B,1995-07-19T00:00:00.000000
1967-040A,2765,OPS 6638 (VELA 7),US,1967-04-28,AFETR,PAY-,2024-07-09T05:13:44.286816
1967-040C,2767,ERS 18,US,1967-04-28,AFETR,PAY-,1975-01-08T22:44:55.370112
1967-040D,2768,ERS 20 (OV5-3),US,1967-04-28,AFETR,PAY-,1991-08-28T18:49:01.711776
1967-040E,2769,ERS 27 (OV5-1),US,1967-04-28,AFETR,PAY-,1985-10-25T22:29:12.952608
1965-089D,2888,DELTA 1 DEB,US,1965-11-06,AFETR,DEB,2025-01-23T14:42:02.083104
1963-014AR,2933,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2009-07-04T01:16:16.040352
1963-014BD,3239,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2019-11-29T10:53:55.129056
1963-014BJ,3244,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2020-01-15T04:46:36.402816
1963-014BX,3257,WESTFORD NEEDLES,US,1963-05-09,AFWTR,DEB,2025-02-01T09:22:41.407392
1968-081C,3430,ERS 21 (OV5-4),US,1968-09-26,AFETR,PAY-,1995-07-19T00:00:00.000000
1968-055C,3848,EXPLORER 38 DEB,US,1968-07-04,AFWTR,DEB,2024-08-13T07:04:40.135008
1969-046A,3950,ERS 29 (OV5-5),US,1969-05-23,AFETR,PAY-,1989-08-23T05:50:22.978464
1969-046B,3951,ERS 26 (OV5-6),US,1969-05-23,AFETR,PAY-,1971-04-30T04:22:39.999360
1969-046C,3952,OV5-9,US,1969-05-23,AFETR,PAY-,1992-12-23T08:18:42.673536
1969-046D,3954,OPS 6909 (VELA 9),US,1969-05-23,AFETR,PAY-,2024-11-07T09:31:24.823776
1969-046E,3955,OPS 6911 (VELA 10),US,1969-05-23,AFETR,PAY-,2024-04-14T10:34:43.845600
1970-027A,4366,OPS 7044 (VELA 12),US,1970-04-08,AFETR,PAY-,2023-09-17T10:26:50.216352
1970-027B,4368,OPS 7033 (VELA 11),US,1970-04-08,AFETR,PAY-,2023-02-26T07:03:32.539968
1965-108J,5457,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2019-06-03T18:19:04.754208
1965-108M,5515,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2019-03-05T12:40:20.697312
1965-108N,5632,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2024-07-29T13:35:47.162976
1965-108S,5992,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2018-07-24T20:27:35.542944
1965-108T,5998,TITAN 3C TRANSTAGE DEB,US,1965-12-21,AFETR,DEB,2023-02-23T01:03:49.163328
1972-073A,6197,EXPLORER 47 (IMP-7),US,1972-09-23,AFETR,PAY-,2024-11-20T18:41:34.924416
1973-078A,6893,EXPLORER 50 (IMP-8),US,1973-10-26,AFETR,PAY-,2025-01-01T22:43:35.519232
1972-058GG,8533,DELTA 1 DEB,US,1972-07-23,AFWTR,DEB,2021-01-29T07:16:51.490272
1976-023D,8749,SOLRAD 11B,US,1976-03-15,AFETR,PAY-,1976-03-27T08:40:59.999520
1976-023G,8752,SOLRAD 11A/B PKM,US,1976-03-15,AFETR,R/B,2025-01-06T03:35:03.020064
1976-105G,9890,COSMOS 862 DEB,CIS,1976-10-22,PLMSC,DEB,1979-04-10T07:23:02.484960
1976-105M,9895,COSMOS 862 DEB,CIS,1976-10-22,PLMSC,DEB,1979-04-10T07:23:02.459040
1976-105P,9902,COSMOS 862 DEB,CIS,1976-10-22,PLMSC,DEB,1993-01-04T17:14:58.687584
1978-100E,11177,SL-14 DEB,CIS,1978-10-26,PLMSC,DEB,1991-05-03T03:20:11.773824
1980-060A,11890,EKRAN 5,CIS,1980-07-15,TYMSC,PAY-,1994-03-14T20:41:32.144640
1977-068E,12815,COSMOS 931 DEB,CIS,1977-07-20,PLMSC,DEB,2024-06-08T22:42:45.362304
1979-077F,12816,COSMOS 1124 DEB,CIS,1979-08-28,PLMSC,DEB,2019-05-28T12:06:12.084192
1979-058E,12833,COSMOS 1109 DEB,CIS,1979-06-27,PLMSC,DEB,1999-09-16T14:44:46.929120
1981-031G,12894,COSMOS 1261 DEB,CIS,1981-03-31,PLMSC,DEB,2024-12-30T15:06:16.818048
1977-012J,13133,TANSEI-3 DEB,JPN,1977-02-19,KSCUT,DEB,2023-12-30T14:57:42.111648
1977-062C,13475,COSMOS 926 DEB,CIS,1977-07-08,PLMSC,DEB,1994-01-26T13:23:24.304416
1974-089EM,13526,THORAD DELTA 1 DEB,US,1974-11-15,AFWTR,DEB,2019-08-18T01:02:59.644896
